,Model,,Line,OOC,OOS
PI700,B101UAX01,TFT,CAPIC700,0.5,0.8
PI700,B116XAN06,TFT,CAPIC700,0.5,0.8
PI700,B140HAN4Q,TFT,CAPIC700,0.5,0.8
PI700,B140HAN4W,TFT,CAPIC700,0.5,0.8
PI700,B140UAN08,TFT,CAPIC700,0.5,0.8
PI700,B140UAN8A,TFT,CAPIC700,0.5,0.8
PI700,B153UAN01,TFT,CAPIC700,0.5,0.8
PI700,B156HAN02,TFT,CAPIC700,0.5,0.8
PI700,B156HTN06,TFT,CAPIC700,0.5,0.8
PI700,B160UAN03,TFT,CAPIC700,0.5,0.8
PI700,B160UAN05,TFT,CAPIC700,0.5,0.8
PI700,B160UAN07,TFT,CAPIC700,0.5,0.8
PI700,B160UAN4A,TFT,CAPIC700,0.5,0.8
PI700,B160UAN4H,TFT,CAPIC700,0.5,0.8
PI700,B160UAN4X,TFT,CAPIC700,0.5,0.8
PI700,B160UAN7J,TFT,CAPIC700,0.5,0.8
PI700,B160UAN8A,TFT,CAPIC700,0.5,0.8
PI700,B160UAV01,TFT,CAPIC700,0.5,0.8
PI700,B170UAN01,TFT,CAPIC700,0.5,0.8
PI700,B173RTN03,TFT,CAPIC700,0.5,0.8
PI700,B180UAN1A,TFT,CAPIC700,0.5,0.8
PI700,B180UAN1B,TFT,CAPIC700,0.5,0.8
PI700,G101EAN2G,TFT,CAPIC700,0.5,0.8
PI700,G101SAN01,TFT,CAPIC700,0.5,0.8
PI700,G213QAN02,TFT,CAPIC700,0.5,0.8
PI700,G215HVN01,TFT,CAPIC700,0.5,0.8
PI700,G238HAT01,TFT,CAPIC700,0.5,0.8
PI700,G240UAN1C,TFT,CAPIC700,0.5,0.8
PI700,G240UAN1D,TFT,CAPIC700,0.5,0.8
PI700,G240UAN1F,TFT,CAPIC700,0.5,0.8
PI700,G270HAN1G,TFT,CAPIC700,0.5,0.8
PI700,G270QAN02,TFT,CAPIC700,0.5,0.8
PI700,G270QAN07,TFT,CAPIC700,0.5,0.8
PI700,G270QAN1C,TFT,CAPIC700,0.5,0.8
PI700,G270QAN1D,TFT,CAPIC700,0.5,0.8
PI700,G270ZAN02,TFT,CAPIC700,0.5,0.8
PI700,G304QAN01,TFT,CAPIC700,0.5,0.8
PI700,G304ZAN01,TFT,CAPIC700,0.5,0.8
PI700,G304ZAN1Z,TFT,CAPIC700,0.5,0.8
PI700,G320ZAN02,TFT,CAPIC700,0.5,0.8
PI700,G320ZAN1A,TFT,CAPIC700,0.5,0.8
PI700,G320ZAN1B,TFT,CAPIC700,0.5,0.8
PI700,G320ZAN2A,TFT,CAPIC700,0.5,0.8
PI700,G320ZAN2B,TFT,CAPIC700,0.5,0.8
PI700,M170ETN01,TFT,CAPIC700,0.5,0.8
PI700,M195RTN01,TFT,CAPIC700,0.5,0.8
PI700,M215HAN01,TFT,CAPIC700,0.5,0.8
PI700,M238DAN01,TFT,CAPIC700,0.5,0.8
PI700,M238HAN02,TFT,CAPIC700,0.5,0.8
PI700,M238HAN2Z,TFT,CAPIC700,0.5,0.8
PI700,M240UAN2C,TFT,CAPIC700,0.5,0.8
PI700,M240UAN03,TFT,CAPIC700,0.5,0.8
PI700,M240UAN05,TFT,CAPIC700,0.5,0.8
PI700,M250HAN01,TFT,CAPIC700,0.5,0.8
PI700,M250HAN03,TFT,CAPIC700,0.5,0.8
PI700,M270DAN06,TFT,CAPIC700,0.5,0.8
PI700,M270DAN07,TFT,CAPIC700,0.5,0.8
PI700,M270DAN7F,TFT,CAPIC700,0.5,0.8
PI700,M270DAN7L,TFT,CAPIC700,0.5,0.8
PI700,M270DAN7Y,TFT,CAPIC700,0.5,0.8
PI700,M270DAN08,TFT,CAPIC700,0.5,0.8
PI700,M270DAN09,TFT,CAPIC700,0.5,0.8
PI700,M270DAN0C,TFT,CAPIC700,0.5,0.8
PI700,M270DANAG,TFT,CAPIC700,0.5,0.8
PI700,M270HAN01,TFT,CAPIC700,0.5,0.8
PI700,M270HAN1C,TFT,CAPIC700,0.5,0.8
PI700,M270HAN02,TFT,CAPIC700,0.5,0.8
PI700,M270HAN03,TFT,CAPIC700,0.5,0.8
PI700,M270HTN2A,TFT,CAPIC700,0.5,0.8
PI700,M270HVN0G,TFT,CAPIC700,0.5,0.8
PI700,M270QAN5B,TFT,CAPIC700,0.5,0.8
PI700,M270QAN06,TFT,CAPIC700,0.5,0.8
PI700,M270QAN6A,TFT,CAPIC700,0.5,0.8
PI700,M270QAN07,TFT,CAPIC700,0.5,0.8
PI700,M270QAN08,TFT,CAPIC700,0.5,0.8
PI700,M300DAN1F,TFT,CAPIC700,0.5,0.8
PI700,M315DAN1B,TFT,CAPIC700,0.5,0.8
PI700,M320DAN02,TFT,CAPIC700,0.5,0.8
PI700,M320QAN03,TFT,CAPIC700,0.5,0.8
PI700,M320QAN0B,TFT,CAPIC700,0.5,0.8
PI700,M320QAN2C,TFT,CAPIC700,0.5,0.8
PI700,M320QAN2X,TFT,CAPIC700,0.5,0.8
PI700,M340QAR01,TFT,CAPIC700,0.5,0.8
PI700,M340QAR1B,TFT,CAPIC700,0.5,0.8
PI700,P215HAN1A,TFT,CAPIC700,0.5,0.8
PI700,P215HAN02,TFT,CAPIC700,0.5,0.8
PI700,W320QAN11,TFT,CAPIC700,0.5,0.8
PI700,W341QAR02,TFT,CAPIC700,0.5,0.8
PI700,W341QAR0A,TFT,CAPIC700,0.5,0.8
